Produk,ARIMA Order,MAE,RMSE,MAPE (%),Stationary,ADF p-value,Kategori MAE
GB-CNF-250,"(0, 1, 1)",0.0,0.0,0.23,Ya,0.0,rendah
GB-CNF-100,"(1, 1, 1)",0.0,0.0,0.0,Ya,0.001,rendah
GB-DS-250,"(1, 1, 1)",0.0,0.0,0.0,Ya,0.0,rendah
GB-DS-100,"(2, 1, 2)",0.0,0.0,0.0,Tidak,0.1159,rendah
GB-GF-250,"(1, 1, 1)",0.0,0.0,0.04,Ya,0.0,rendah
GB-LDR-250,"(0, 1, 1)",0.0,0.0,0.23,Ya,0.0,rendah
GB-JOY-10,"(1, 1, 1)",0.0,0.0,0.33,Ya,0.0134,rendah
GB-JOY-100,"(1, 1, 1)",0.0,0.0,0.01,Ya,0.0042,rendah
GB-LDR-30,"(0, 1, 1)",0.0,0.0,0.12,Ya,0.0,rendah
GB-MYB-100,"(0, 1, 1)",0.0,0.0,0.19,Ya,0.0,rendah
GB-TC-250,"(0, 1, 1)",0.0,0.0,0.0,Ya,0.0,rendah
GB-TC-30,"(2, 1, 3)",0.0,0.0,0.3,Ya,0.0,rendah
GB-IB-100,"(2, 1, 3)",0.01,0.01,0.6,Ya,0.0,menengah
GB-TP-TV,"(3, 1, 2)",0.01,0.01,0.67,Ya,0.0,menengah
GB-MYB-30,"(1, 1, 1)",0.01,0.01,0.63,Ya,0.0001,menengah
GB-JOY-30,"(1, 1, 1)",0.01,0.01,0.69,Ya,0.0263,menengah
GB-GF-30,"(3, 1, 2)",0.02,0.02,2.0,Ya,0.0003,menengah
GB-LDR-10,"(0, 1, 1)",0.03,0.03,2.72,Ya,0.0,menengah
GB-MYB-10,"(1, 1, 1)",0.03,0.03,3.44,Ya,0.0,menengah
GB-BB-30,"(3, 1, 3)",0.04,0.04,4.05,Ya,0.0,menengah
GB-IB-30,"(0, 1, 1)",0.04,0.16,2.64,Ya,0.0,menengah
GB-TP-NB,"(0, 1, 1)",0.04,0.04,3.9,Ya,0.0,menengah
GB-IB-10,"(3, 1, 2)",0.05,0.05,4.6,Ya,0.0,tinggi
GB-DS-10,"(2, 1, 3)",0.06,0.16,4.75,Ya,0.0002,tinggi
GB-GF-10,"(3, 1, 3)",0.09,0.32,5.49,Ya,0.0,tinggi
GB-TP-CC,"(3, 1, 2)",0.09,0.17,7.92,Ya,0.0,tinggi
GB-DS-30,"(2, 1, 3)",0.1,0.32,6.05,Ya,0.0,tinggi
GB-BB-10,"(3, 1, 3)",0.13,0.18,11.51,Ya,0.0,tinggi
GB-TC-10,"(3, 1, 2)",0.13,0.36,8.44,Ya,0.0,tinggi
GB-CNF-30,"(3, 1, 2)",0.86,1.14,58.94,Ya,0.0036,tinggi
GB-CNF-10,"(3, 1, 2)",3.54,5.86,165.59,Ya,0.0,tinggi
